Time;V ph.angle phase A;V ph.angle phase B;V ph.angle phase C
2019-03-19T01:04:56+01:00;null;1.360744;2.98935
2019-03-19T01:04:57+01:00;2.076886;-0.014796;-2.67607
2019-03-19T01:04:58+01:00;0.507068;-1.586431;-0.10906
2019-03-19T01:04:59+01:00;-1.092316;3.099747;1.796322
2019-03-19T01:05:00+01:00;-2.607506;1.585025;2.678875
2019-03-19T01:05:03+01:00;2.340985;0.2508;-1.973722
2019-03-19T01:05:04+01:00;0.416635;-1.676894;0.034264
2019-03-19T01:05:07+01:00;0.055477;-2.037939;-1.445344
2019-03-19T01:05:08+01:00;-1.841826;2.348367;1.596209
2019-03-19T01:05:09+01:00;3.005549;0.911433;-2.469696
2019-03-19T01:05:10+01:00;1.49065;-0.601586;1.666448
2019-03-19T01:05:11+01:00;0.02279;-2.069316;-1.877321
2019-03-19T01:05:13+01:00;null;null;1.716036
2019-03-19T01:05:14+01:00;-0.247907;-2.340536;-1.684438
2019-03-19T01:05:15+01:00;-2.112633;2.078619;-2.325434
2019-03-19T01:05:16+01:00;2.65716;0.566421;2.986466
2019-03-19T01:05:17+01:00;0.870358;-1.22174;-3.048509
2019-03-19T01:05:20+01:00;2.913234;0.818582;2.488952
2019-03-19T01:05:21+01:00;0.794237;-1.298759;-0.501978
2019-03-19T01:05:22+01:00;-0.922837;-3.015771;1.647204
2019-03-19T01:05:23+01:00;-2.865873;1.325824;2.503124
2019-03-19T01:05:26+01:00;-2.479699;1.713459;-0.053614
2019-03-19T01:05:27+01:00;2.397164;0.305436;2.72649
2019-03-19T01:05:28+01:00;0.902748;-1.188707;-0.921538
2019-03-19T01:05:30+01:00;2.510877;0.420428;-2.412758
2019-03-19T01:05:31+01:00;1.072912;-1.019376;1.150073
2019-03-19T01:05:32+01:00;-0.818609;-2.912449;-2.928037
2019-03-19T01:05:33+01:00;-2.266275;1.925062;2.802701
2019-03-19T01:05:34+01:00;-0.609634;-2.704192;-0.998834
2019-03-19T01:05:37+01:00;-0.876845;-2.970434;2.622805
2019-03-19T01:05:38+01:00;-2.341505;1.849429;3.010826
2019-03-19T01:05:39+01:00;2.601437;0.511962;-3.097823
2019-03-19T01:05:40+01:00;1.225191;-0.867075;2.640955
2019-03-19T01:05:41+01:00;-0.196123;-2.288736;-0.703972
2019-03-19T01:05:43+01:00;null;-1.130565;-0.852515
2019-03-19T01:05:44+01:00;-0.453184;-2.547922;-2.586168
2019-03-19T01:05:45+01:00;-1.827125;2.362854;3.01625
2019-03-19T01:05:46+01:00;3.082833;0.989158;1.468488
2019-03-19T01:05:47+01:00;1.738822;-0.35285;2.15346
