Time;I ph.angle phase A;I ph.angle phase B;I ph.angle phase C
2019-03-19T01:05:16+01:00;-2.798109;1.152661;-2.363653
2019-03-19T01:05:17+01:00;1.616518;-0.574881;2.056925
2019-03-19T01:05:20+01:00;-2.584504;1.538534;-2.228993
2019-03-19T01:05:21+01:00;1.5388;-0.499292;1.959286
2019-03-19T01:05:22+01:00;-0.15029;-2.537885;0.255584
2019-03-19T01:05:23+01:00;-2.056244;2.162437;-1.615665
2019-03-19T01:05:26+01:00;-1.710066;2.371571;-1.233278
2019-03-19T01:05:27+01:00;-3.12002;0.801533;-2.630453
2019-03-19T01:05:28+01:00;1.718851;-0.381338;null
2019-03-19T01:05:30+01:00;-3.109818;1.21279;-2.49263
2019-03-19T01:05:31+01:00;1.771069;-0.231218;2.3262
2019-03-19T01:05:32+01:00;-0.199508;-2.022271;0.413799
2019-03-19T01:05:33+01:00;-1.494171;2.7577;-1.07535
2019-03-19T01:05:34+01:00;0.181461;-1.831112;0.623706
2019-03-19T01:05:37+01:00;-0.009043;-2.234797;0.365529
2019-03-19T01:05:38+01:00;-1.421391;2.489528;-1.177
2019-03-19T01:05:39+01:00;-2.940641;1.322528;-2.410565
2019-03-19T01:05:40+01:00;2.035079;-0.231474;2.527652
2019-03-19T01:05:43+01:00;1.723962;-0.485728;2.17653
2019-03-19T01:05:44+01:00;0.367246;-1.718964;0.73406
2019-03-19T01:05:45+01:00;-1.060307;3.138202;-0.643063
2019-03-19T01:05:46+01:00;-2.466547;1.747296;-1.985673
2019-03-19T01:05:47+01:00;2.457839;0.305367;2.990012
2019-03-19T01:05:50+01:00;2.820555;0.887107;-2.98873
2019-03-19T01:05:51+01:00;0.913548;-1.169824;1.50965
2019-03-19T01:05:53+01:00;null;null;2.944923
2019-03-19T01:05:54+01:00;0.527672;-1.687101;1.060836
2019-03-19T01:05:55+01:00;-0.975809;-2.970128;-0.473329
2019-03-19T01:05:56+01:00;-2.699975;1.491346;-2.395695
2019-03-19T01:05:57+01:00;2.150677;0.126259;2.52172
2019-03-19T01:05:58+01:00;0.353072;-1.681142;0.820812
2019-03-19T01:06:00+01:00;1.423075;-0.67367;1.948207
2019-03-19T01:06:01+01:00;-0.70827;-3.017766;-0.230275
2019-03-19T01:06:02+01:00;-2.606237;1.644287;-2.079726
2019-03-19T01:06:03+01:00;1.682476;-0.319477;2.332025
2019-03-19T01:06:04+01:00;-1.66411;2.735976;-1.146025
2019-03-19T01:06:07+01:00;-2.250312;2.060285;-1.788057
2019-03-19T01:06:08+01:00;1.808452;-0.124915;2.310321
2019-03-19T01:06:11+01:00;-0.392077;-2.18324;0.270391
2019-03-19T01:06:12+01:00;-1.812343;2.353274;-1.406593
2019-03-19T01:06:13+01:00;2.77046;0.697844;-2.810262
2019-03-19T01:06:14+01:00;1.003004;-1.352331;1.468803
2019-03-19T01:06:15+01:00;-0.586291;-2.752514;-0.170233
2019-03-19T01:06:17+01:00;0.335212;-1.375775;0.877725
2019-03-19T01:06:18+01:00;-1.490482;2.762883;-1.106803
2019-03-19T01:06:19+01:00;-3.097547;1.09083;-2.569477
2019-03-19T01:06:20+01:00;1.155908;-0.484018;1.853307
2019-03-19T01:06:21+01:00;-0.32038;-2.092711;0.220192
2019-03-19T01:06:24+01:00;-1.337402;3.050044;-0.706017
2019-03-19T01:06:25+01:00;-2.779053;1.341424;-2.205718
2019-03-19T01:06:26+01:00;1.508541;-0.478965;1.965827
2019-03-19T01:06:27+01:00;0.071292;-2.224578;0.491621
2019-03-19T01:06:28+01:00;0.856733;-1.458202;1.178099
2019-03-19T01:06:31+01:00;0.136032;-2.046349;0.484949
2019-03-19T01:06:32+01:00;-1.550955;2.945134;-1.0071
2019-03-19T01:06:37+01:00;1.124538;-1.085318;1.718715
2019-03-19T01:06:38+01:00;-0.268532;-2.616958;0.229103
2019-03-19T01:06:41+01:00;-0.171872;-2.35973;0.44965
2019-03-19T01:06:42+01:00;-2.174435;2.15165;-1.410478
2019-03-19T01:06:43+01:00;2.698899;null;-3.080778
2019-03-19T01:06:44+01:00;1.146381;-0.914381;1.681985
2019-03-19T01:06:45+01:00;-0.737847;-2.857916;-0.183704
2019-03-19T01:06:47+01:00;0.747908;-1.092483;1.393823
2019-03-19T01:06:48+01:00;-1.155791;-2.9854;-0.563516
2019-03-19T01:06:49+01:00;-2.466134;1.850071;-1.955122
2019-03-19T01:06:54+01:00;-2.713316;1.531113;-2.2708
2019-03-19T01:06:55+01:00;2.07348;-0.070103;2.517634
2019-03-19T01:06:58+01:00;2.565129;0.639316;3.034969
2019-03-19T01:06:59+01:00;1.307313;-0.674182;1.682169
2019-03-19T01:07:00+01:00;-0.62797;-2.59057;-0.125994
2019-03-19T01:07:01+01:00;-2.474223;1.692379;-1.92499
2019-03-19T01:07:02+01:00;2.008792;-0.035068;2.523028
2019-03-19T01:07:04+01:00;2.892174;0.657013;-2.958134
2019-03-19T01:07:05+01:00;1.392125;-0.526333;1.921957
2019-03-19T01:07:06+01:00;0.01152;-1.95142;0.518143
2019-03-19T01:07:07+01:00;-1.215666;2.927765;-0.742246
2019-03-19T01:07:08+01:00;2.927869;0.824462;-2.947464
2019-03-19T01:07:11+01:00;2.562421;0.484178;2.999228
2019-03-19T01:07:12+01:00;1.023548;-1.155043;1.427672
2019-03-19T01:07:13+01:00;-0.929568;-3.068507;-0.419002
2019-03-19T01:07:18+01:00;1.825159;-0.49646;2.164353
2019-03-19T01:07:19+01:00;-0.28566;-2.331483;0.31508
2019-03-19T01:07:24+01:00;-1.577649;2.603891;-1.162445
2019-03-19T01:07:25+01:00;3.035611;0.947107;-2.744406
2019-03-19T01:07:26+01:00;1.595335;null;null
2019-03-19T01:07:28+01:00;2.948712;0.746697;-2.815408
2019-03-19T01:07:29+01:00;1.488226;-0.756577;1.931901
2019-03-19T01:07:30+01:00;-0.031982;-2.357516;0.427444
2019-03-19T01:07:35+01:00;2.440053;0.204975;2.743611
2019-03-19T01:07:36+01:00;0.810127;-1.290018;1.237314
2019-03-19T01:07:41+01:00;0.632596;-1.475182;1.229698
2019-03-19T01:07:42+01:00;-1.077147;2.828597;-0.714093
2019-03-19T01:07:43+01:00;1.686215;-0.326425;2.047295
2019-03-19T01:07:45+01:00;2.699581;0.893826;-2.926276
2019-03-19T01:07:46+01:00;1.339166;-0.754039;1.850326
2019-03-19T01:07:47+01:00;-0.175865;-2.327326;0.416946
2019-03-19T01:07:52+01:00;-2.715975;1.714507;-2.104149
2019-03-19T01:07:53+01:00;2.139146;0.242432;2.753602
2019-03-19T01:07:58+01:00;null;-3.047034;-0.449169
2019-03-19T01:07:59+01:00;-2.456124;1.85466;-1.960556
2019-03-19T01:08:00+01:00;2.20115;0.187355;2.813958
2019-03-19T01:08:05+01:00;-2.046967;2.131116;-1.569871
2019-03-19T01:08:06+01:00;2.863897;0.606154;-3.029304
2019-03-19T01:08:15+01:00;2.76501;0.493782;-3.101031
2019-03-19T01:08:16+01:00;0.956358;-1.288261;1.499589
2019-03-19T01:08:17+01:00;-1.054377;3.124227;-0.570209
2019-03-19T01:08:22+01:00;0.133745;-1.823572;0.651791
2019-03-19T01:08:23+01:00;-2.016898;2.25198;-1.506207
2019-03-19T01:08:26+01:00;-1.701613;2.547871;-1.156606
2019-03-19T01:08:27+01:00;-3.0643;1.163007;-2.704297
2019-03-19T01:08:28+01:00;1.47849;-0.66905;null
2019-03-19T01:08:29+01:00;-0.063353;-2.193832;0.383983
2019-03-19T01:08:30+01:00;-1.767206;2.338146;-1.220875
2019-03-19T01:08:32+01:00;-0.989375;-3.12509;-0.52961
2019-03-19T01:08:33+01:00;-2.908686;1.271413;-2.41081
2019-03-19T01:08:34+01:00;1.914482;-0.675993;2.24344
2019-03-19T01:08:39+01:00;0.966075;-1.098312;1.435622
2019-03-19T01:08:40+01:00;-0.390611;-2.238586;-0.04398
2019-03-19T01:08:46+01:00;1.706084;-0.423764;2.167443
2019-03-19T01:08:47+01:00;0.282452;-1.682471;0.894506
2019-03-19T01:08:54+01:00;1.398327;-0.993277;1.82906
2019-03-19T01:08:55+01:00;-0.045508;-2.056878;0.402314
2019-03-19T01:08:56+01:00;-1.395196;2.856538;-0.919761
2019-03-19T01:09:02+01:00;null;null;-2.229898
