Time;Freq phase A;Freq phase B
2019-03-19T01:05:27+01:00;49.979469;49.979259
2019-03-19T01:05:28+01:00;49.978489;49.978142
2019-03-19T01:05:30+01:00;49.982456;49.981758
2019-03-19T01:05:31+01:00;49.985401;49.985374
2019-03-19T01:05:32+01:00;49.987694;49.988308
2019-03-19T01:05:33+01:00;49.988342;49.988152
2019-03-19T01:05:34+01:00;49.988235;49.989098
2019-03-19T01:05:37+01:00;49.991795;49.992374
2019-03-19T01:05:38+01:00;49.99321;49.993275
2019-03-19T01:05:39+01:00;49.994015;49.99297
2019-03-19T01:05:40+01:00;49.992386;49.992416
2019-03-19T01:05:41+01:00;49.989662;49.989758
2019-03-19T01:05:43+01:00;null;49.986809
2019-03-19T01:05:44+01:00;49.986706;49.987663
2019-03-19T01:05:45+01:00;49.986553;49.986904
2019-03-19T01:05:46+01:00;49.985008;49.985519
2019-03-19T01:05:47+01:00;49.984047;49.983753
2019-03-19T01:05:50+01:00;49.982563;49.982162
2019-03-19T01:05:51+01:00;49.979866;49.980282
2019-03-19T01:05:54+01:00;49.978123;49.978027
2019-03-19T01:05:55+01:00;49.975742;49.975769
2019-03-19T01:05:56+01:00;49.972282;49.971901
2019-03-19T01:05:57+01:00;49.971592;49.971508
2019-03-19T01:05:58+01:00;49.972649;49.973381
2019-03-19T01:06:00+01:00;49.971138;49.971672
2019-03-19T01:06:01+01:00;49.972214;49.972179
2019-03-19T01:06:02+01:00;49.972542;49.972893
2019-03-19T01:06:03+01:00;49.972271;49.972176
2019-03-19T01:06:04+01:00;49.970757;49.971157
2019-03-19T01:06:07+01:00;49.972748;49.972397
2019-03-19T01:06:08+01:00;49.970673;49.970379
2019-03-19T01:06:11+01:00;49.96563;49.965752
2019-03-19T01:06:12+01:00;49.965874;49.964867
2019-03-19T01:06:13+01:00;49.965725;49.965305
2019-03-19T01:06:14+01:00;49.963634;49.964386
2019-03-19T01:06:15+01:00;49.964333;49.963226
2019-03-19T01:06:17+01:00;49.963791;49.964725
2019-03-19T01:06:18+01:00;49.96418;49.963982
2019-03-19T01:06:19+01:00;49.964264;49.963715
2019-03-19T01:06:20+01:00;49.965542;49.966106
2019-03-19T01:06:21+01:00;49.968128;49.967831
2019-03-19T01:06:24+01:00;49.968361;49.968578
2019-03-19T01:06:25+01:00;49.969383;49.968815
2019-03-19T01:06:26+01:00;null;49.96896
2019-03-19T01:06:27+01:00;49.969296;49.969574
2019-03-19T01:06:28+01:00;49.97023;49.970306
2019-03-19T01:06:31+01:00;49.970585;49.971329
2019-03-19T01:06:32+01:00;49.968948;49.968857
2019-03-19T01:06:37+01:00;49.972748;49.973736
2019-03-19T01:06:38+01:00;49.972565;49.972153
2019-03-19T01:06:41+01:00;49.975464;49.976143
2019-03-19T01:06:42+01:00;49.977432;49.977097
2019-03-19T01:06:43+01:00;49.975399;49.974953
2019-03-19T01:06:44+01:00;49.973919;49.974457
2019-03-19T01:06:45+01:00;49.97683;49.976971
2019-03-19T01:06:48+01:00;49.979473;49.979305
2019-03-19T01:06:49+01:00;49.979618;49.980042
2019-03-19T01:06:54+01:00;49.985249;49.986156
2019-03-19T01:06:55+01:00;49.987698;49.987766
2019-03-19T01:06:56+01:00;49.98785;49.988121
2019-03-19T01:06:58+01:00;49.988831;49.988319
2019-03-19T01:06:59+01:00;49.986752;49.987465
2019-03-19T01:07:00+01:00;49.98827;49.988068
2019-03-19T01:07:01+01:00;49.989265;49.98959
2019-03-19T01:07:02+01:00;49.98983;49.989738
2019-03-19T01:07:05+01:00;49.985023;49.985832
2019-03-19T01:07:06+01:00;49.984257;49.984482
2019-03-19T01:07:07+01:00;49.984577;49.984325
2019-03-19T01:07:08+01:00;49.985081;49.985073
2019-03-19T01:07:11+01:00;49.97945;49.979149
2019-03-19T01:07:12+01:00;49.978474;49.978786
2019-03-19T01:07:13+01:00;49.980099;49.980106
2019-03-19T01:07:18+01:00;49.974365;49.974499
2019-03-19T01:07:19+01:00;49.975189;49.975212
2019-03-19T01:07:24+01:00;49.968212;49.968258
2019-03-19T01:07:25+01:00;49.968906;49.968151
2019-03-19T01:07:26+01:00;49.96809;49.968155
2019-03-19T01:07:28+01:00;49.968472;49.967579
2019-03-19T01:07:29+01:00;49.967739;49.968533
2019-03-19T01:07:30+01:00;49.967049;49.967834
2019-03-19T01:07:35+01:00;49.968315;49.968487
2019-03-19T01:07:36+01:00;49.971268;49.971611
2019-03-19T01:07:41+01:00;49.975155;49.975063
2019-03-19T01:07:42+01:00;49.975849;49.976105
2019-03-19T01:07:43+01:00;49.975071;49.975109
2019-03-19T01:07:45+01:00;49.973579;49.973248
2019-03-19T01:07:46+01:00;49.973446;49.974041
2019-03-19T01:07:47+01:00;49.974079;49.974617
2019-03-19T01:07:52+01:00;49.972866;49.973751
2019-03-19T01:07:53+01:00;49.972866;49.9729
2019-03-19T01:07:59+01:00;49.969418;49.970078
2019-03-19T01:08:00+01:00;49.972691;49.972519
2019-03-19T01:08:05+01:00;49.9804;49.98027
2019-03-19T01:08:06+01:00;49.981319;49.981171
2019-03-19T01:08:15+01:00;49.979717;49.979424
2019-03-19T01:08:16+01:00;49.980289;49.980843
2019-03-19T01:08:17+01:00;49.981686;49.981552
2019-03-19T01:08:22+01:00;49.985085;49.985748
2019-03-19T01:08:23+01:00;49.987972;49.987518
2019-03-19T01:08:26+01:00;49.992069;49.990833
2019-03-19T01:08:27+01:00;49.991493;49.991291
2019-03-19T01:08:28+01:00;49.991505;49.992329
2019-03-19T01:08:29+01:00;49.991936;49.992519
2019-03-19T01:08:30+01:00;49.993027;49.992069
2019-03-19T01:08:32+01:00;49.991573;49.991741
2019-03-19T01:08:33+01:00;49.992584;49.991825
2019-03-19T01:08:34+01:00;49.993351;49.993267
2019-03-19T01:08:39+01:00;49.989983;49.990452
2019-03-19T01:08:40+01:00;49.989391;49.988441
2019-03-19T01:08:41+01:00;49.989407;49.988552
2019-03-19T01:08:46+01:00;49.992729;49.992737
2019-03-19T01:08:47+01:00;49.992523;49.993767
2019-03-19T01:08:55+01:00;50.000443;50.001163
2019-03-19T01:08:56+01:00;50.0009;50.001076
2019-03-19T01:09:03+01:00;50.002987;50.002975
2019-03-19T01:09:04+01:00;50.005058;50.00531
2019-03-19T01:09:09+01:00;50.004158;50.003639
2019-03-19T01:09:10+01:00;50.003414;50.003429
2019-03-19T01:09:11+01:00;50.003052;50.002228
2019-03-19T01:09:13+01:00;50.000053;50.00016
2019-03-19T01:09:14+01:00;49.998333;49.99828
2019-03-19T01:09:15+01:00;49.997311;49.996445
2019-03-19T01:09:18+01:00;49.993332;49.993351
2019-03-19T01:09:19+01:00;49.991627;49.992138
2019-03-19T01:09:26+01:00;49.993351;49.994091
2019-03-19T01:09:27+01:00;49.994511;49.994377
2019-03-19T01:09:28+01:00;49.993805;49.994682
2019-03-19T01:09:35+01:00;49.9958;49.995857
2019-03-19T01:09:36+01:00;49.995285;49.995899
2019-03-19T01:09:37+01:00;49.994858;null
2019-03-19T01:09:42+01:00;49.991695;49.992733
2019-03-19T01:09:43+01:00;49.991795;49.991417
2019-03-19T01:09:46+01:00;49.993866;49.993542
2019-03-19T01:09:47+01:00;49.993374;49.99337
2019-03-19T01:09:52+01:00;49.995644;49.996296
2019-03-19T01:09:53+01:00;49.997623;49.997871
2019-03-19T01:09:54+01:00;49.998924;49.998882
2019-03-19T01:09:59+01:00;50.002464;50.001793
2019-03-19T01:10:00+01:00;50.00383;50.003597
2019-03-19T01:10:05+01:00;50.004585;50.004631
2019-03-19T01:10:06+01:00;50.00148;50.002434
2019-03-19T01:10:07+01:00;50.001949;50.001747
2019-03-19T01:10:09+01:00;null;50.00362
2019-03-19T01:10:10+01:00;50.004341;50.004208
2019-03-19T01:10:11+01:00;50.001892;50.002312
2019-03-19T01:10:16+01:00;50.004242;50.004242
2019-03-19T01:10:17+01:00;50.003601;50.004227
2019-03-19T01:10:22+01:00;50.00975;50.009518
2019-03-19T01:10:23+01:00;50.012283;50.012321
2019-03-19T01:10:24+01:00;50.013039;50.012199
2019-03-19T01:10:27+01:00;50.010468;50.010983
2019-03-19T01:10:28+01:00;50.011749;50.011803
2019-03-19T01:10:29+01:00;50.011337;50.01207
2019-03-19T01:10:30+01:00;50.012897;50.012848
2019-03-19T01:10:33+01:00;50.015381;50.015476
2019-03-19T01:10:34+01:00;50.016171;50.016193
2019-03-19T01:10:40+01:00;50.01786;50.017838
2019-03-19T01:10:41+01:00;50.017445;50.018135
2019-03-19T01:10:44+01:00;50.01189;50.012665
2019-03-19T01:10:45+01:00;50.012604;50.01339
2019-03-19T01:10:46+01:00;50.014332;50.013191
2019-03-19T01:10:47+01:00;50.012985;50.012531
2019-03-19T01:10:50+01:00;50.009811;50.010876
2019-03-19T01:10:51+01:00;50.011047;50.011143
2019-03-19T01:10:52+01:00;null;50.011757
2019-03-19T01:10:53+01:00;50.009861;50.009899
2019-03-19T01:10:54+01:00;50.010445;50.009926
2019-03-19T01:10:57+01:00;50.009995;50.009758
2019-03-19T01:10:58+01:00;50.011562;50.011353
2019-03-19T01:11:03+01:00;50.010918;50.010826
2019-03-19T01:11:04+01:00;50.009331;50.009621
2019-03-19T01:11:10+01:00;50.006954;50.007015
2019-03-19T01:11:11+01:00;50.00737;50.007523
2019-03-19T01:11:14+01:00;50.009079;50.008934
2019-03-19T01:11:15+01:00;50.008873;50.008705
2019-03-19T01:11:16+01:00;50.007843;50.008488
2019-03-19T01:11:17+01:00;50.008659;50.00843
2019-03-19T01:11:20+01:00;50.012394;50.01268
2019-03-19T01:11:21+01:00;50.012318;50.011971
2019-03-19T01:11:22+01:00;50.012985;50.013054
2019-03-19T01:11:23+01:00;50.012451;50.012573
2019-03-19T01:11:24+01:00;50.009991;50.010952
2019-03-19T01:11:27+01:00;50.007229;50.006443
2019-03-19T01:11:28+01:00;50.007168;50.006874
2019-03-19T01:11:31+01:00;50.007889;50.008213
2019-03-19T01:11:32+01:00;50.008854;50.008602
2019-03-19T01:11:33+01:00;50.008953;50.00845
2019-03-19T01:11:34+01:00;50.008209;50.008553
2019-03-19T01:11:37+01:00;50.006359;50.006893
2019-03-19T01:11:38+01:00;50.007774;50.006931
2019-03-19T01:11:39+01:00;null;50.007454
2019-03-19T01:11:40+01:00;50.004448;50.004902
2019-03-19T01:11:41+01:00;50.005077;50.005486
2019-03-19T01:11:44+01:00;50.005238;50.005524
2019-03-19T01:11:45+01:00;50.005352;50.005356
2019-03-19T01:11:46+01:00;50.007439;50.00695
2019-03-19T01:11:47+01:00;50.007565;50.007908
2019-03-19T01:11:50+01:00;50.007622;50.007454
2019-03-19T01:11:51+01:00;50.009434;50.009678
2019-03-19T01:11:54+01:00;50.012047;50.011826
2019-03-19T01:11:55+01:00;50.010654;50.0103
2019-03-19T01:11:56+01:00;50.010963;50.011223
2019-03-19T01:11:57+01:00;50.012615;50.012794
2019-03-19T01:11:58+01:00;50.012711;50.012947
2019-03-19T01:12:01+01:00;50.012352;50.011906
2019-03-19T01:12:02+01:00;50.012836;50.0131
2019-03-19T01:12:03+01:00;50.013237;50.013187
2019-03-19T01:12:04+01:00;50.012306;50.012642
2019-03-19T01:12:07+01:00;50.0149;50.014282
2019-03-19T01:12:08+01:00;50.017269;50.017357
2019-03-19T01:12:09+01:00;50.019417;50.019512
2019-03-19T01:12:10+01:00;50.020515;50.021057
2019-03-19T01:12:11+01:00;50.022419;50.02372
2019-03-19T01:12:14+01:00;50.016422;50.017506
2019-03-19T01:12:15+01:00;50.017494;50.016861
2019-03-19T01:12:20+01:00;50.006992;50.006729
2019-03-19T01:12:21+01:00;50.006176;50.006004
2019-03-19T01:12:24+01:00;50.00238;50.00322
2019-03-19T01:12:25+01:00;50.001678;50.001858
2019-03-19T01:12:26+01:00;50.002182;50.002712
2019-03-19T01:12:27+01:00;50.003239;50.003601
2019-03-19T01:12:28+01:00;50.002144;50.002121
2019-03-19T01:12:31+01:00;50.002609;50.003223
2019-03-19T01:12:32+01:00;50.00211;50.002079
2019-03-19T01:12:37+01:00;50.002151;50.004314
2019-03-19T01:12:38+01:00;50.003811;50.004417
2019-03-19T01:12:39+01:00;50.006107;50.006805
2019-03-19T01:12:41+01:00;50.005535;50.005386
2019-03-19T01:12:42+01:00;50.004192;50.004765
2019-03-19T01:12:43+01:00;50.004841;50.004902
2019-03-19T01:12:44+01:00;50.007332;50.005981
2019-03-19T01:12:45+01:00;50.005798;50.005287
2019-03-19T01:12:47+01:00;50.005844;50.006504
2019-03-19T01:12:48+01:00;50.005371;50.005539
2019-03-19T01:12:49+01:00;50.004513;50.005116
2019-03-19T01:12:50+01:00;50.006905;50.006828
2019-03-19T01:12:51+01:00;50.004776;50.00552
2019-03-19T01:12:52+01:00;50.00436;50.005646
2019-03-19T01:12:54+01:00;50.00293;50.003925
2019-03-19T01:12:55+01:00;50.003418;50.003265
2019-03-19T01:12:56+01:00;50.002716;50.002666
2019-03-19T01:13:01+01:00;50.001034;50.000927
2019-03-19T01:13:02+01:00;50.001915;50.001938
2019-03-19T01:13:07+01:00;50.008781;50.008579
2019-03-19T01:13:08+01:00;50.008224;50.007671
2019-03-19T01:13:09+01:00;50.007145;50.007191
2019-03-19T01:13:11+01:00;50.009827;50.009899
2019-03-19T01:13:12+01:00;50.009438;50.009159
2019-03-19T01:13:13+01:00;50.009525;50.009075
2019-03-19T01:13:18+01:00;50.009369;50.008617
2019-03-19T01:13:19+01:00;50.008453;50.008286
2019-03-19T01:13:24+01:00;50.007114;50.00703
2019-03-19T01:13:25+01:00;50.007629;50.007572
2019-03-19T01:13:26+01:00;50.008766;50.009083
2019-03-19T01:13:33+01:00;50.011013;50.01112
2019-03-19T01:13:34+01:00;50.011784;50.011192
2019-03-19T01:13:35+01:00;50.012012;50.011925
2019-03-19T01:13:40+01:00;50.017422;50.017696
2019-03-19T01:13:41+01:00;50.017151;50.017166
2019-03-19T01:13:48+01:00;50.018074;50.018475
2019-03-19T01:13:49+01:00;50.016602;50.016598
2019-03-19T01:13:57+01:00;50.012894;50.012939
2019-03-19T01:13:58+01:00;50.012001;50.011669
2019-03-19T01:14:03+01:00;50.016304;50.016464
2019-03-19T01:14:04+01:00;50.015652;50.016109
2019-03-19T01:14:05+01:00;50.017464;50.017117
2019-03-19T01:14:08+01:00;50.02206;50.021389
2019-03-19T01:14:09+01:00;50.022583;50.022774
2019-03-19T01:14:10+01:00;50.023972;50.02475
2019-03-19T01:14:11+01:00;50.025509;50.024902
2019-03-19T01:14:14+01:00;50.025101;50.026501
2019-03-19T01:14:15+01:00;50.025368;50.024647
2019-03-19T01:14:20+01:00;50.022274;50.022278
2019-03-19T01:14:21+01:00;50.021538;50.021523
2019-03-19T01:14:22+01:00;50.021374;50.020615
2019-03-19T01:14:27+01:00;50.007397;50.007172
2019-03-19T01:14:28+01:00;50.006638;50.006821
2019-03-19T01:14:31+01:00;50.005947;50.006012
2019-03-19T01:14:32+01:00;50.005333;50.004421
2019-03-19T01:14:33+01:00;50.005535;50.006439
2019-03-19T01:14:34+01:00;50.006954;50.008274
2019-03-19T01:14:35+01:00;50.005196;50.005287
2019-03-19T01:14:38+01:00;50.008179;50.008053
2019-03-19T01:14:39+01:00;50.00927;50.009899
2019-03-19T01:14:44+01:00;50.014202;50.01437
2019-03-19T01:14:45+01:00;50.013615;50.014549
2019-03-19T01:14:51+01:00;50.009609;50.011055
2019-03-19T01:14:52+01:00;50.009041;50.008789
2019-03-19T01:14:55+01:00;50.005981;50.006618
2019-03-19T01:14:56+01:00;50.005711;50.006069
2019-03-19T01:14:57+01:00;50.006084;50.005051
2019-03-19T01:14:58+01:00;50.005871;50.005821
2019-03-19T01:15:01+01:00;50.008686;50.008766
2019-03-19T01:15:02+01:00;50.007328;50.006687
2019-03-19T01:15:03+01:00;null;50.008446
2019-03-19T01:15:04+01:00;50.009422;50.009651
2019-03-19T01:15:05+01:00;50.009014;50.009953
2019-03-19T01:15:08+01:00;50.010876;50.010529
2019-03-19T01:15:09+01:00;50.01178;50.011875
2019-03-19T01:15:12+01:00;50.013695;50.014351
2019-03-19T01:15:13+01:00;50.014351;50.01368
2019-03-19T01:15:14+01:00;50.013832;50.013485
2019-03-19T01:15:15+01:00;50.013538;50.014431
2019-03-19T01:15:18+01:00;50.01561;50.015305
2019-03-19T01:15:19+01:00;50.015537;50.01548
2019-03-19T01:15:20+01:00;50.013237;50.014484
2019-03-19T01:15:21+01:00;50.012451;50.012028
2019-03-19T01:15:22+01:00;50.012466;50.012035
2019-03-19T01:15:25+01:00;50.010052;50.010288
2019-03-19T01:15:26+01:00;50.00956;50.008541
2019-03-19T01:15:27+01:00;50.007851;50.007809
2019-03-19T01:15:28+01:00;50.007561;50.006931
2019-03-19T01:15:31+01:00;50.003899;50.004047
2019-03-19T01:15:32+01:00;50.001427;50.002281
2019-03-19T01:15:33+01:00;49.999802;49.999447
2019-03-19T01:15:35+01:00;49.995461;49.995052
2019-03-19T01:15:36+01:00;49.994255;49.994255
2019-03-19T01:15:37+01:00;49.994164;49.994652
2019-03-19T01:15:38+01:00;49.994148;49.993717
2019-03-19T01:15:39+01:00;49.994442;49.994019
2019-03-19T01:15:42+01:00;49.996857;49.995686
2019-03-19T01:15:43+01:00;49.994915;49.995602
2019-03-19T01:15:44+01:00;49.99577;49.995831
2019-03-19T01:15:45+01:00;49.995098;49.99514
2019-03-19T01:15:48+01:00;49.991402;49.991165
2019-03-19T01:15:49+01:00;49.991188;49.990852
2019-03-19T01:15:50+01:00;null;49.98875
2019-03-19T01:15:51+01:00;49.989323;49.989437
2019-03-19T01:15:52+01:00;49.99049;49.991619
2019-03-19T01:15:55+01:00;49.992188;49.991531
2019-03-19T01:15:56+01:00;49.9925;49.992271
2019-03-19T01:15:58+01:00;49.995216;49.995335
2019-03-19T01:15:59+01:00;49.99725;49.996429
2019-03-19T01:16:00+01:00;49.996529;49.996231
2019-03-19T01:16:01+01:00;49.995605;49.996056
2019-03-19T01:16:02+01:00;49.997021;49.997826
2019-03-19T01:16:05+01:00;49.995682;49.995525
2019-03-19T01:16:06+01:00;49.994907;49.995449
2019-03-19T01:16:07+01:00;49.995972;49.996647
2019-03-19T01:16:08+01:00;49.994549;49.994576
2019-03-19T01:16:09+01:00;49.992134;49.991917
2019-03-19T01:16:12+01:00;49.991154;49.991405
2019-03-19T01:16:13+01:00;49.991531;49.991196
2019-03-19T01:16:18+01:00;49.992535;49.992336
2019-03-19T01:16:19+01:00;49.991291;49.991405
2019-03-19T01:16:20+01:00;49.990887;49.990341
2019-03-19T01:16:22+01:00;49.989902;49.989525
2019-03-19T01:16:23+01:00;49.992161;49.992664
2019-03-19T01:16:24+01:00;49.992119;49.992123
2019-03-19T01:16:25+01:00;49.990936;49.990425
2019-03-19T01:16:26+01:00;49.990658;49.989651
2019-03-19T01:16:29+01:00;49.992737;49.991611
2019-03-19T01:16:30+01:00;49.992661;49.993553
2019-03-19T01:16:35+01:00;50.001804;50.001274
2019-03-19T01:16:36+01:00;50.003967;50.003399
2019-03-19T01:16:37+01:00;50.006405;50.00613
2019-03-19T01:16:42+01:00;50.006989;50.00795
2019-03-19T01:16:43+01:00;50.009686;50.009869
2019-03-19T01:16:48+01:00;50.010635;50.010326
2019-03-19T01:16:49+01:00;50.010681;50.010838
2019-03-19T01:16:50+01:00;50.011589;50.012043
2019-03-19T01:16:52+01:00;50.010929;50.010513
2019-03-19T01:16:53+01:00;50.010792;50.011211
2019-03-19T01:16:54+01:00;50.010738;50.010593
2019-03-19T01:16:59+01:00;50.004551;50.005119
2019-03-19T01:17:00+01:00;50.005016;50.005913
2019-03-19T01:17:05+01:00;50.001934;50.00198
2019-03-19T01:17:06+01:00;50.002632;50.002392
2019-03-19T01:17:07+01:00;50.003712;50.003891
2019-03-19T01:17:14+01:00;50.007973;50.00856
2019-03-19T01:17:15+01:00;50.00927;50.009338
2019-03-19T01:17:21+01:00;50.00901;50.009041
2019-03-19T01:17:22+01:00;50.008373;50.0089
2019-03-19T01:17:25+01:00;50.00552;50.005386
2019-03-19T01:17:26+01:00;50.004124;50.004566
2019-03-19T01:17:31+01:00;50.004574;50.004471
2019-03-19T01:17:32+01:00;50.004936;50.005104
2019-03-19T01:17:33+01:00;50.00341;50.003662
2019-03-19T01:17:38+01:00;50.007107;50.006897
2019-03-19T01:17:39+01:00;50.006695;50.007877
2019-03-19T01:17:44+01:00;50.013718;50.013687
2019-03-19T01:17:45+01:00;50.01482;50.014381
2019-03-19T01:17:46+01:00;50.014526;50.014874
2019-03-19T01:17:48+01:00;50.015331;50.014317
2019-03-19T01:17:49+01:00;50.015266;50.014954
2019-03-19T01:17:50+01:00;50.01519;50.015842
2019-03-19T01:17:51+01:00;50.015484;50.016453
